Q1586454	Harry Chapin
Q34474	Aleksandr Solzhenitsyn
Q104127	Douglas Fairbanks
Q46096	Felix Mendelssohn
Q191480	Ivan Andreyevich Krylov
Q77112	David Foster
Q253439	Royal Netherlands Academy of Arts and Sciences
Q153238	Leó Szilárd
Q164119	Mark Wahlberg
Q2656667	Ulf Ekberg
Q202440	Atlantic Records
Q336222	Tito Jackson
Q2306091	sociologist
Q207197	Gene Simmons
Q702	Federated States of Micronesia
Q347528	Liberace
Q11975	Britney Spears
Q350979	zoologist
Q229274	Regina Spektor
Q153694	Michael Bublé
Q63670	Peter Gay
Q94081	Bob Hope
Q150916	Jon Bon Jovi
Q42229	Mel Gibson
Q204868	Yevgeny Zamyatin
Q1860	English
Q240377	Amanda Palmer
Q131725	Joan Baez
Q105756	John Updike
Q414	Argentina
Q33	Finland
Q148	People's Republic of China
Q39803	Mario Vargas Llosa
Q297598	Beatriz Luengo
Q60285	Ernst Troeltsch
Q153248	Marguerite Duras
Q105118	Sidney Sheldon
Q2622688	Mikhail Zadornov
Q520549	geologist
Q172632	Amy Lee
Q712	Fiji
Q712359	Roger Miller
Q81752	Anton Bruckner
Q173061	Syd Barrett
Q967	Burundi
Q230445	Sara Bareilles
Q283408	Dmitry Glukhovsky
Q37160	David Hume
Q185465	Paula Abdul
Q2029901	OHADA
Q84509	Felix Philipp Kanitz
Q164401	Simon Newcomb
Q179126	John Ruskin
Q273055	R. Kelly
Q359568	Vladimir Obruchev
Q23197	Nashville
Q194220	Nas
Q192348	Benedetto Croce
Q193196	University College London
Q1716	Renaud
Q128126	Claude Lévi-Strauss
Q1242553	Lonnie Liston Smith
Q211	Latvia
Q75828	Heinrich Wilhelm Olbers
Q233	Malta
Q230943	China Anne McClain
Q19074	Samuel P. Huntington
Q1468277	Royal Society of Literature
Q726251	Elektra
Q157322	Romain Gary
Q3621491	archaeologist
Q1345514	Michael Penn
Q230501	Christina Milian
Q11826	Al-Biruni
Q228	Andorra
Q60070	Friedrich Wilhelm Joseph Schelling
Q41269	Henri Becquerel
Q297736	Yevgeny Yevtushenko
Q1698	Serge Gainsbourg
Q79078	Wilhelm Blaschke
Q133163	percussion instrument
Q192515	Jason Mraz
Q451812	Lianne La Havas
Q213684	Tamara Bunke
Q358538	T-Bone Walker
Q100937	Fred Astaire
Q653884	Hispanic America
Q23556	Atlanta
Q855091	guitarist
Q158060	W.E.B. Du Bois
Q245257	William Styron
Q5105	Céline Dion
Q11900058	explorer
Q167635	Tyler, the Creator
Q163366	Ezra Pound
Q347	Liechtenstein
Q303207	Ricky Nelson
Q34166	Slash
Q736	Ecuador
Q290197	Joumana Haddad
Q15980158	non-fiction writer
Q47447	Ed Sheeran
Q1938003	Phi Beta Kappa Society
Q106662	John Lydon
Q386053	Donny Osmond
Q55456	Nino Manfredi
Q4029	Tara Strong
Q334670	Ted Nugent
Q769	Grenada
Q232214	Julieta Venegas
Q561401	Spike Milligan
Q251068	Wang Leehom
Q42904	Dima Bilan
Q434745	Tinashe
Q180453	Dolly Parton
Q1055	Hamburg
Q214677	Nora Ephron
Q2643	George Harrison
Q128297	Maria Callas
Q229375	Linda Ronstadt
Q1967070	Svetlana Surganova
Q443897	Gretchen Wilson
Q313185	Fritz Leiber Junior
Q311115	Henri Victor Regnault
Q67526	Wolfgang Schadewaldt
Q465636	Doc Watson
Q44481	Pierre-Simon Laplace
Q1928989	Treaty on Open Skies
Q309555	Michael Cera
Q1046038	Enzo Jannacci
Q19771	G20
Q18844224	science fiction writer
Q220480	Zora Neale Hurston
Q7241	Rabindranath Tagore
Q82238	Cliff Richard
Q43203	Clint Eastwood
Q102711	Dennis Hopper
Q958578	Lloyd Price
Q585643	Atco Records
Q44414	Trey Parker
Q822146	lyricist
Q34969	Benjamin Franklin
Q312720	Robert Penn Warren
Q49	North America
Q333634	translator
Q45970	Czesław Miłosz
Q152301	George Tabori
Q126462	Thomas Paine
Q34424	Shakira
Q159583	Holy See
Q44519	Selma Lagerlöf
Q311256	Richard Marx
Q24925	science fiction
Q483507	Kelly Clarkson
Q150989	Frédéric Joliot-Curie
Q47122	Enrique Iglesias
Q36591	Vladimir Nabokov
Q104358	Billie Holiday
Q8873	Satyajit Ray
Q46185	bass guitar
Q1209498	poet lawyer
Q295923	MC Hammer
Q9049	Noam Chomsky
Q158354	Pavel Jozef Šafárik
Q106225	Jean Yanne
Q206832	Gaspard Monge
Q128121	Mick Jagger
Q220	Rome
Q184366	Thomas Henry Huxley
Q81082	Henri Poincaré
Q1196752	traditional pop music
Q272031	Jack White
Q49001	Whoopi Goldberg
Q683	Samoa
Q4030	Duke Ellington
Q215300	Jordin Sparks
Q55796	Peter Ustinov
Q208101	Joseph Heller
Q813	Kyrgyzstan
Q888666	Bobby Scott
Q215	Slovenia
Q28389	screenwriter
Q83333	James D. Watson
Q318509	Henry Rollins
Q57075	Fritz Haber
Q288928	agnosticism
Q152388	Theodor W. Adorno
Q242454	Zemfira
Q705333	David Clayton-Thomas
Q33760	Bertrand Russell
Q8349	"Weird Al" Yankovic
Q1666	Jacques Brel
Q241583	Bret Easton Ellis
Q78487	Robert Musil
Q783	Honduras
Q135139	Paul Jozef Crutzen
Q340195	African Development Bank
Q188375	Lucy Liu
Q263696	Debbie Reynolds
Q1039	São Tomé and Príncipe
Q86820	Hugo Huppert
Q234750	Suzi Quatro
Q44855	Jackie Jackson
Q183535	Veniamin Smekhov
Q336640	David Byrne
Q251287	Waylon Jennings
Q1238570	political scientist
Q200586	Sheryl Crow
Q398	Bahrain
Q180619	Stephen Jay Gould
Q43845	businessperson
Q47064	military personnel
Q11907	Mark Oliver Everett
Q8908	Council of Europe
Q380407	Nikolai Fomenko
Q5333	Charles Lyell
Q202550	Dido
Q239652	Bulat Okudzhava
Q244	Barbados
Q3816	George Sand
Q60579	Moritz von Jacobi
Q47899	Paris Hilton
Q851	Saudi Arabia
Q1348831	Lowell George
Q30875	Oscar Wilde
Q184226	Gilles Deleuze
Q833	Malaysia
Q183337	David Attenborough
Q842490	Organisation for the Prohibition of Chemical Weapons
Q276005	Charlotte Gainsbourg
Q278625	Vladimir Solovyov
Q46706	Eugène Ionesco
Q79025	Walter Scott
Q39246	Richard Feynman
Q204804	Beth Hart
Q190379	Ian McEwan
Q352914	Karel Jaromír Erben
Q742634	Augusto Righi
Q298209	Willow Smith
Q174843	Jeff Bridges
Q17	Japan
Q48337	Morgan Freeman
Q6714	Wilhelm Grimm
Q104266	Mel Brooks
Q239587	Aimee Mann
Q58978	Max Born
Q83158	Jean Cocteau
Q78492	Tomáš Garrigue Masaryk
Q533369	Saul Williams
Q1231865	pedagogue
Q484302	James Hetfield
Q901	scientist
Q84423	Martin Buber
Q954997	Michael Nesmith
Q236	Montenegro
Q216364	Epic
Q924	Tanzania
Q912	Mali
Q219060	State of Palestine
Q8261	novel
Q1010602	Giorgio Gaber
Q108560	A. R. Rahman
Q182665	Iggy Pop
Q58735	Lily Allen
Q448764	Stephen Spender
Q192655	Lara Fabian
Q17495	Universal Postal Union
Q467482	Jaan Kaplinski
Q971	Republic of the Congo
Q183397	Fred Hoyle
Q187019	Philip Roth
Q325389	David A. Stewart
Q9682	Elizabeth II
Q2822396	Academy of Sciences of Turin
Q183492	Margaret Atwood
Q12202	stroke
Q180004	Fergie
Q739	Colombia
Q48990	Nikolay Semyonov
Q414110	Academy of Arts, Berlin
Q554406	Alberto Manguel
Q582713	Simon Sechter
Q15	Africa
Q208175	Novodevichy Cemetery
Q55208	Andrei Konchalovsky
Q192668	Nick Cave
Q213736	Bridgit Mendler
Q2071	David Lynch
Q180727	John Cage
Q47695	Rudolf Christoph Eucken
Q678	Tonga
Q232113	Anna Karina
Q111436	Elmer Bernstein
Q82955	politician
Q161363	Zbigniew Herbert
Q185007	Rita Levi-Montalcini
Q34433	University of Oxford
Q892	J. R. R. Tolkien
Q36268	Brigitte Bardot
Q9268	Judaism
Q46	Europe
Q231276	Angélique Kidjo
Q1377134	Graham Parker
Q287607	Rob Reiner
Q362422	Vince Neil
Q165706	Rodion Shchedrin
Q96	Mexico
Q275641	Julie Driscoll
Q7542	Prince
Q180268	gospel music
Q231228	Solange Knowles
Q107008	Count Basie
Q312288	George Ellery Hale
Q1297	Chicago
Q181573	Fazil Iskander
Q44176	Hulk Hogan
Q188137	J. J. Abrams
Q165980	University of Vienna
Q188492	Seth MacFarlane
Q14441	Liza Minnelli
Q440996	Marietta Shaginyan
Q203059	Virgin Records
Q2259451	stage actor
Q864380	biographer
Q151403	Thomas Carlyle
Q2914170	street artist
Q184485	performing arts
Q9759	blues
Q95089	Ginger Rogers
Q60197	Alfred Einstein
Q165219	Robert Downey, Jr.
Q1043527	Multilateral Investment Guarantee Agency
Q2338889	MCA Records
Q310060	Crispin Glover
Q137042	Nat King Cole
Q182589	William Morris
Q161806	Académie Française
Q131272	soul music
Q117249	Robbie Robertson
Q965	Burkina Faso
Q16031530	music theorist
Q49017	Hugh Laurie
Q231106	Joan Jett
Q47426	Milton Friedman
Q25351	Theodor Mommsen
Q419	Peru
Q60586	Barthold Georg Niebuhr
Q9730	classical music
Q1353559	Mort Shuman
Q46739	Octavio Paz
Q434915	Jann Arden
Q78608	Carl Djerassi
Q51101	Jolin Tsai
Q459620	Deutsche Akademie für Sprache und Dichtung
Q150526	Santiago Ramón y Cajal
Q176909	Walker Percy
Q18814623	autobiographer
Q2370801	Academy of Sciences of the USSR
Q37876	Natalie Portman
Q294927	Jerry Lewis
Q313509	Bernard-Henri Lévy
Q335680	Jimmy Fallon
Q310217	David Hemmings
Q274404	Claudio Magris
Q214548	Andy Williams
Q312870	Jerry Garcia
Q80510	Alla Pugacheva
Q3603946	Accademia Nazionale delle Scienze detta dei XL
Q1037	Rwanda
Q14915627	musicologist
Q5104	Miranda Cosgrove
Q237324	Lisa Marie Presley
Q131433	Shania Twain
Q184697	Gloria Estefan
Q2490358	choreographer
Q45981	rhythm and blues
Q3501317	fashion designer
Q822	Lebanon
Q122020	Hilary Duff
Q45177	Visa Waiver Program
Q151872	Amos Oz
Q51094	Yuri Shevchuk
Q150630	Camillo Golgi
Q214549	Joseph Liouville
Q709	Marshall Islands
Q16867	Edgar Allan Poe
Q348497	Ilya Ehrenburg
Q77024	Lion Feuchtwanger
Q44461	Richard Dawkins
Q816706	Southern African Development Community
Q4610556	model
Q193710	Ne-Yo
Q310755	Camille Jordan
Q9798	saxophone
Q25089	Woody Allen
Q526709	William Dean Howells
Q11774202	essayist
Q470334	Euclides da Cunha
Q81096	engineer
Q63078	Hermann Usener
Q237	Vatican City
Q201562	Hayley Williams
Q31164	Ellie Goulding
Q258896	banjo
Q467519	Randy Travis
Q72334	Toni Morrison
Q41304	Weimar Republic
Q359552	Gordon Lightfoot
Q131324	Janet Jackson
Q66107	Henry Kissinger
Q218992	Nelly
Q182046	Leon Battista Alberti
Q15975	Montesquieu
Q186485	Billy Crystal
Q729117	Edmund White
Q29552	Democratic Party
Q37	Lithuania
Q1011	Cape Verde
Q244234	John Turturro
Q212	Ukraine
Q1025	Mauritania
Q122968	Alexander Emanuel Agassiz
Q63458	Theodor Nöldeke
Q76738	Athanasius Kircher
Q14045	Moby
Q164384	Theodore von Kármán
Q151991	European Southern Observatory
Q57384	Wernher von Braun
Q211756	dance-pop
Q232456	Macy Gray
Q123759	Organization of American States
Q189080	Lou Reed
Q5752	Peter Kropotkin
Q93166	Milan Kundera
Q51566	Spike Lee
Q202801	Vanessa Williams
Q9711	Honoré de Balzac
Q311238	Sean Lennon
Q61064	Wassily Kandinsky
Q215546	Carrie Underwood
Q944275	James Lighthill
Q151510	Heidelberg University
Q1000	Gabon
Q47543	Organisation of Islamic Cooperation
Q221450	Luciano Berio
Q33946	Czechoslovakia
Q5608	Eminem
Q134798	Haruki Murakami
Q5716684	dancer
Q25379	play
Q574	East Timor
Q16145150	music pedagogue
Q191020	Gary Becker
Q10798782	television actor
Q167696	Nicole Scherzinger
Q533284	Gustavo Cerati
Q16345	Leonard Nimoy
Q233529	Dee Dee Bridgewater
Q128799	Ricky Martin
Q1976514	Anatoly Krupnov
Q209471	Telly Savalas
Q217280	Joss Stone
Q1624891	Holly Near
Q953	Zambia
Q174210	Julio Cortázar
Q4964182	philosopher
Q4773904	anthropologist
Q4042	CeeLo Green
Q310343	Dudley Moore
Q44426	Rainer Werner Fassbinder
Q425821	Mark Ronson
Q9438	Thomas Aquinas
Q6527	Jean-Jacques Rousseau
Q16297	William Shatner
Q188482	Robin Gibb
Q217467	art rock
Q37068	Romanticism
Q187760	new wave
Q204005	Debby Ryan
Q46633	Charles Babbage
Q221074	Bud Spencer
Q496967	Alliance of Small Island States
Q181683	Carly Simon
Q40640	Ray Bradbury
Q6694	Alexander von Humboldt
Q185002	Mylène Farmer
Q952491	Ian McLagan
Q13235160	producer
Q482	poetry
Q41513	William Blake
Q202585	RCA Records
Q234356	Janelle Monáe
Q43432	Justin Timberlake
Q131524	entrepreneur
Q166796	GoonRock
Q230454	k.d. lang
Q170576	Milla Jovovich
Q265	Uzbekistan
Q16323111	peace activist
Q9734	symphony
Q542101	Boris Grebenshchikov
Q704742	Sticky Fingaz
Q61318	August Ludwig von Schlözer
Q1726	Munich
Q8018	Augustine of Hippo
Q555226	Sid Caesar
Q231694	Interscope Records
Q233946	Kate Voegele
Q315181	Alexey Vorobyov
Q7159	African Union
Q1176607	Ross Bagdasarian Sr.
Q298255	Rob Zombie
Q188822	Asian Development Bank
Q83338	Robin Williams
Q38903	Universal Music Group
Q712914	Jerry Reed
Q8016	Winston Churchill
Q104668	Vitaly Ginzburg
Q333265	Léon Theremin
Q463501	Valeriya Novodvorskaya
Q5383	David Bowie
Q42398	Michail Sholokhov
Q216936	Sean Combs
Q187832	Mandy Moore
Q7351	Robert Schumann
Q189599	Keith Richards
Q1014	Liberia
Q132524	Ayn Rand
Q7315	Pyotr Ilyich Tchaikovsky
Q843	Pakistan
Q313138	Redman
Q1350157	music critic
Q168728	Robert Frost
Q40479	David Mitchell
Q155700	Chris Brown
Q77144	Leo Strauss
Q131149	Henry David Thoreau
Q60970	Sakis Rouvas
Q83297	John William Strutt, 3rd Baron Rayleigh
Q371202	Big Boi
Q345325	Harry Shearer
Q256708	Sabrina Bryan
Q2632	Ringo Starr
Q347362	Fredric Jameson
Q35032	Eastern Orthodox Church
Q229153	Michelle Williams
Q33231	photographer
Q9027	Swedish
Q40	Austria
Q453288	George Steiner
Q128758	satire
Q49210	New York University
Q67076	Ludwig Geiger
Q463281	American Academy of Arts and Letters
Q311476	Per Olov Enquist
Q297794	Yasmina Reza
Q241660	Angie Stone
Q213512	Bill Cosby
Q25144	Kevin Spacey
Q1334617	Raymond Scott
Q18939491	diarist
Q424	Cambodia
Q181754	heart failure
Q313013	Brian Wilson
Q949	John Bardeen
Q61863	Ulrich von Wilamowitz-Moellendorff
Q169470	physicist
Q235066	Laurie Anderson
Q184440	Jorge Amado
Q762	Leonardo da Vinci
Q6096	Snoop Dogg
Q359665	David Walliams
Q6538	Günter Grass
Q929	Central African Republic
Q3369762	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean
Q917	Bhutan
Q7318	Nazi Germany
Q128532	Al Jolson
Q9778	electronic music
Q210172	Kevin Jonas
Q27645	Mikhail Bakunin
Q190231	Adam Lambert
Q237081	Ani Lorak
Q5327	Adolf Butenandt
Q633	Neil Young
Q12548	Holy Roman Empire
Q12658	Wilhelm Ostwald
Q231942	Natalie Cole
Q215215	John Mayer
Q1132636	Serbian Academy of Sciences and Arts
Q123174	Vanessa Hudgens
Q38848	heavy metal
Q451608	Gaspard de Prony
Q39658	Carl Peter Thunberg
Q232085	Lil Mama
Q432421	Natasha Shneider
Q9288	Hebrew
Q8704	Walt Disney
Q458	European Union
Q185724	Mike Myers
Q817	Kuwait
Q117012	Yoko Ono
Q37073	pop music
Q42156	Henri Bergson
Q202319	Bill Haley
Q25120	Pier Paolo Pasolini
Q5749	Pierre-Joseph Proudhon
Q37944	Masiela Lusha
Q213579	Ernst Chladni
Q155	Brazil
Q387539	Hollywood Records
Q189081	Howard Hughes
Q53714	Chord Overstreet
Q1643790	J. Rodolfo Wilcock
Q717	Venezuela
Q159636	Joseph Priestley
Q2526255	film director
Q134102	Organisation internationale de la Francophonie
Q484641	pop rock
Q221	North Macedonia
Q45765	Jack London
Q664167	Arista
Q168756	"University of California, Berkeley"
Q153185	Joseph Louis Gay-Lussac
Q33866	Theodore Roosevelt
Q11299	Manhattan
Q183945	record producer
Q636	Kate Bush
Q51290	harmonica
Q275247	Herbert Grönemeyer
Q7197	Simone de Beauvoir
Q7809	UNESCO
Q215868	Alice Walker
Q186329	Mika
Q42574	James Cameron
Q652	Italian
Q34981	Isaac Asimov
Q312252	Andy Griffith
Q19199	Brad Delson
Q1033	Nigeria
Q78505	Peter Lorre
Q229379	Lil' Kim
Q2079	Leipzig
Q122003	Julio Iglesias
Q150651	George Carlin
Q185832	Emmanuel Swedenborg
Q273981	Tionne Watkins
Q7325	Jewish people
Q110462	Julie Delpy
Q201221	Alexander Ivanovich Herzen
Q1744	Madonna
Q173637	Ice Cube
Q757	Saint Vincent and the Grenadines
Q221364	Jaden Smith
Q93343	Percy Bysshe Shelley
Q1045	Somalia
Q1047474	Brendon Urie
Q9204	C. S. Lewis
Q186327	Marilyn Manson
Q131333	George Eliot
Q50020	John Stuart Mill
Q364875	Todd Rundgren
Q34787	Friedrich Engels
Q103835	Peter Debye
Q792	El Salvador
Q711	Mongolia
Q18425	Marcellin Berthelot
Q11812	Thomas Jefferson
Q262838	Cree Summer
Q102822	Jacobus Henricus van 't Hoff
Q36290	Diana Ross
Q294278	"African, Caribbean and Pacific Group of States"
Q205721	Joni Mitchell
Q158175	Kid Rock
Q207898	Manu Chao
Q145	United Kingdom
Q21578	Princeton University
Q536723	Lori Lieberman
Q298	Chile
Q151523	György Lukács
Q41590	Mircea Eliade
Q80440	Anna Akhmatova
Q52954	keyboard instrument
Q438164	Samuel R. Delany
Q47100	Ben Stiller
Q272208	Montparnasse Cemetery
Q1246	Kosovo
Q154556	Karlheinz Stockhausen
Q7504	Irène Joliot-Curie
Q61407	Ernst Curtius
Q65350	Carl Friedrich von Weizsäcker
Q150445	Camille Saint-Saëns
Q467027	Buffy Sainte-Marie
Q75612	Isaac Bashevis Singer
Q171969	Georges Cuvier
Q9312	Immanuel Kant
Q704931	Edmund Wilson
Q6530	Stanisław Lem
Q5994	piano
Q43293	J. M. Coetzee
Q130857	disc jockey
Q64238	George Henschel
Q3866537	Movement Coordination Centre Europe
Q557632	Decca
Q121926	Henry Louis Le Châtelier
Q76546	Erich Kästner
Q153232	Jean Le Rond d'Alembert
Q186264	Darius Milhaud
Q935369	Daniel Lanois
Q957627	Luis Alberto Spinetta
Q265179	Rita Lee
Q471664	Leonid Leonov
Q55004	Kurt Weill
Q1050	Eswatini
Q103114	Michel Houellebecq
Q296872	Barry Gibb
Q1095432	Clarence "Gatemouth" Brown
Q41239	Konstantin Eduardovich Tsiolkovskii
Q786	Dominican Republic
Q185085	Miguel de Unamuno
Q345612	Harold Bloom
Q347685	Korney Chukovsky
Q191384	International Bank for Reconstruction and Development
Q242095	Dino Buzzati
Q84	London
Q94701	Heinrich Brunner
Q179257	Timbaland
Q294144	Lea Salonga
Q117	Ghana
Q1028181	painter
Q192279	Aleksey Nikolayevich Tolstoy
Q654283	Def Jam Recordings
Q302762	Barry Manilow
Q1239933	Donald Glover
Q924232	Vince Gill
Q118233	Sergey Kuryokhin
Q217787	Carole King
Q948329	character actor
Q9648008	banjoist
Q151830	Melanie C
Q11399	rock music
Q189729	Philip Glass
Q364131	Bob Seger
Q2252262	rapper
Q5682	Miguel de Cervantes
Q561458	Henry Louis Gates
Q212015	Johnny Hallyday
Q5950	James Brown
Q180962	Norman Mailer
Q44412	Hans Christian Ørsted
Q55960555	recording artist
Q311672	Roger Daltrey
Q239917	Tina Arena
Q317427	Donovan
Q4345832	Saint Petersburg Academy of Sciences
Q119546	Howard Zinn
Q77060	Dietrich Fischer-Dieskau
Q44086	Carl Orff
Q78506	Ingeborg Bachmann
Q220078	Kingsley Amis
Q350	Cambridge
Q299965	Ralph Ellison
Q333	astronomy
Q476921	renal insufficiency
Q3335	George Orwell
Q676	prose
Q1394	Vladimir Lenin
Q40213	William Butler Yeats
Q18809	Anatoly Lunacharsky
Q1511	Richard Wagner
Q6423963	Anglicanism
Q154759	Sven Hedin
Q6711	Allen Ginsberg
Q539171	Dalida
Q79854	Communist Party of the Soviet Union
Q41076	Mariah Carey
Q154770	Arnold Schoenberg
Q217750	Violetta Villas
Q169038	Zdeněk Nejedlý
Q4636	Barbra Streisand
Q19504	Fritz Lang
Q188459	Goldie Hawn
Q275875	Andriy Danylko
Q76478	Kirsten Dunst
Q27	Ireland
Q117021	Oswald Heer
Q42493	Katy Perry
Q649	Moscow
Q76791	Ferdinand von Richthofen
Q14467526	linguist
Q7604	Leonhard Euler
Q182436	librarian
Q11401	hip hop music
Q76600	Manfred Eigen
Q507864	Donny Hathaway
Q11617	Aaliyah
Q295537	Eduard Limonov
Q193391	diplomat
Q229013	Sarah Silverman
Q298694	Method Man
Q167821	Gore Vidal
Q1032	Niger
Q217191	soft rock
Q34670	Albert Camus
Q21077	Warner Music Group
Q354033	Joe Walsh
Q155375	Archibald Hill
Q84238	Peter Drucker
Q889	Afghanistan
Q62766	Jay-Z
Q1067	Dante Alighieri
Q1965416	Diana Arbenina
Q26058	James Maslow
Q298025	Joss Whedon
